586	+	1454	=	?
641	+	1665	=	?
27	+	1785	=	?
1419	+	1409	=	?
509	+	570	=	?
125	+	1605	=	?
1343	+	1873	=	?
1409	+	941	=	?
881	+	214	=	?
1632	+	567	=	?
711	+	1575	=	?
658	+	1893	=	?
949	+	2021	=	?
462	+	893	=	?
827	+	1948	=	?
1337	+	44	=	?
257	+	486	=	?
1602	+	1990	=	?
716	+	1974	=	?
1290	+	1187	=	?
1484	+	1938	=	?
989	+	1240	=	?
1282	+	219	=	?
151	+	1278	=	?
228	+	320	=	?
764	+	1729	=	?
309	+	1627	=	?
1284	+	327	=	?
15	+	172	=	?
1410	+	1674	=	?
23	+	1874	=	?
1029	+	145	=	?
1359	+	1987	=	?
1235	+	615	=	?
1961	+	546	=	?
520	+	115	=	?
1061	+	1790	=	?
1641	+	210	=	?
1543	+	71	=	?
1081	+	154	=	?
1724	+	176	=	?
1446	+	1554	=	?
1847	+	1480	=	?
193	+	1077	=	?
1844	+	420	=	?
220	+	775	=	?
377	+	1306	=	?
356	+	228	=	?
721	+	1924	=	?
228	+	1243	=	?
803	+	323	=	?
426	+	678	=	?
458	+	576	=	?
1616	+	1524	=	?
800	+	1125	=	?
613	+	1092	=	?
995	+	1009	=	?
465	+	125	=	?
77	+	1560	=	?
485	+	953	=	?
1494	+	1041	=	?
2007	+	1885	=	?
1221	+	878	=	?
1473	+	352	=	?
26	+	689	=	?
263	+	660	=	?
385	+	120	=	?
459	+	1499	=	?
723	+	1874	=	?
1790	+	2024	=	?
1320	+	635	=	?
256	+	180	=	?
614	+	1527	=	?
519	+	1025	=	?
1899	+	1840	=	?
611	+	802	=	?
1023	+	1812	=	?
1667	+	1645	=	?
1009	+	1395	=	?
1997	+	1272	=	?
585	+	217	=	?
1180	+	978	=	?
361	+	1847	=	?
568	+	105	=	?
550	+	985	=	?
1331	+	1900	=	?
200	+	1465	=	?
1813	+	1517	=	?
789	+	1359	=	?
378	+	333	=	?
1502	+	552	=	?
1656	+	255	=	?
433	+	371	=	?
633	+	1103	=	?
275	+	980	=	?
613	+	807	=	?
1439	+	586	=	?
178	+	182	=	?
168	+	1831	=	?
802	+	1844	=	?
271	+	378	=	?
1097	+	1501	=	?
541	+	416	=	?
826	+	1137	=	?
1071	+	1038	=	?
751	+	123	=	?
1645	+	2018	=	?
271	+	1351	=	?
1400	+	1933	=	?
477	+	1423	=	?
1318	+	1052	=	?
330	+	1238	=	?
438	+	171	=	?
1318	+	1704	=	?
1618	+	895	=	?
2001	+	272	=	?
1744	+	751	=	?
1997	+	303	=	?
1570	+	1521	=	?
1356	+	1740	=	?
649	+	591	=	?
822	+	871	=	?
795	+	887	=	?
1686	+	1074	=	?
266	+	341	=	?
466	+	16	=	?
874	+	1118	=	?
1905	+	141	=	?
277	+	1717	=	?
1973	+	1162	=	?
548	+	1774	=	?
1829	+	281	=	?
306	+	1258	=	?
1557	+	87	=	?
362	+	784	=	?
1892	+	76	=	?
951	+	1741	=	?
1348	+	789	=	?
608	+	1306	=	?
733	+	663	=	?
209	+	666	=	?
1007	+	449	=	?
1276	+	2013	=	?
1392	+	1326	=	?
745	+	29	=	?
399	+	271	=	?
1206	+	1707	=	?
1662	+	717	=	?
915	+	1436	=	?
1250	+	578	=	?
2022	+	1323	=	?
76	+	110	=	?
1150	+	1507	=	?
1173	+	1124	=	?
858	+	242	=	?
1073	+	1363	=	?
1192	+	588	=	?
1842	+	1321	=	?
565	+	1372	=	?
1742	+	701	=	?
567	+	1280	=	?
1705	+	922	=	?
318	+	352	=	?
1311	+	635	=	?
764	+	1705	=	?
206	+	1963	=	?
1699	+	316	=	?
227	+	1588	=	?
430	+	1162	=	?
2001	+	864	=	?
1494	+	994	=	?
872	+	1926	=	?
1552	+	1361	=	?
1981	+	1288	=	?
1674	+	1442	=	?
1087	+	628	=	?
175	+	1469	=	?
863	+	699	=	?
477	+	1296	=	?
1826	+	433	=	?
1251	+	1546	=	?
1755	+	538	=	?
1306	+	325	=	?
493	+	1749	=	?
84	+	200	=	?
114	+	2013	=	?
1772	+	1195	=	?
1169	+	1957	=	?
1909	+	335	=	?
1212	+	1612	=	?
569	+	1173	=	?
1874	+	1122	=	?
202	+	593	=	?
1687	+	2015	=	?
853	+	484	=	?
1772	+	15	=	?
1766	+	140	=	?
1214	+	678	=	?
471	+	1985	=	?
880	+	1307	=	?
1703	+	738	=	?
453	+	823	=	?
18	+	1638	=	?
1512	+	813	=	?
1845	+	1057	=	?
453	+	1727	=	?
989	+	1201	=	?
1132	+	1183	=	?
407	+	767	=	?
1952	+	97	=	?
1637	+	287	=	?
1374	+	1476	=	?
1787	+	1209	=	?
1722	+	377	=	?
497	+	340	=	?
223	+	1420	=	?
1269	+	1281	=	?
1794	+	334	=	?
1445	+	1530	=	?
1264	+	1555	=	?
165	+	159	=	?
1894	+	745	=	?
660	+	1414	=	?
1222	+	926	=	?
1293	+	1927	=	?
819	+	1675	=	?
1328	+	1037	=	?
864	+	1711	=	?
1906	+	1495	=	?
1678	+	1989	=	?
1224	+	2024	=	?
643	+	662	=	?
934	+	827	=	?
198	+	1041	=	?
1208	+	369	=	?
1470	+	151	=	?
493	+	332	=	?
565	+	162	=	?
1091	+	1401	=	?
1505	+	981	=	?
1057	+	725	=	?
714	+	152	=	?
1272	+	1618	=	?
441	+	1590	=	?
376	+	646	=	?
662	+	1507	=	?
1099	+	1284	=	?
1447	+	1650	=	?
1181	+	11	=	?
483	+	371	=	?
1837	+	1832	=	?
297	+	1171	=	?
1223	+	2004	=	?
958	+	12	=	?
16	+	1582	=	?
818	+	1943	=	?
798	+	1069	=	?
1181	+	376	=	?
1470	+	1413	=	?
830	+	2006	=	?
1673	+	950	=	?
523	+	1833	=	?
2	+	1269	=	?
657	+	552	=	?
1492	+	1493	=	?
77	+	1026	=	?
305	+	574	=	?
1140	+	1549	=	?
38	+	95	=	?
1282	+	1426	=	?
195	+	957	=	?
305	+	654	=	?
1783	+	54	=	?
400	+	311	=	?
1288	+	608	=	?
302	+	589	=	?
772	+	1227	=	?
1226	+	1382	=	?
1705	+	1419	=	?
702	+	266	=	?
1540	+	1512	=	?
725	+	1613	=	?
175	+	667	=	?
604	+	815	=	?
633	+	1040	=	?
1847	+	535	=	?
1512	+	184	=	?
1776	+	445	=	?
1216	+	1385	=	?
1296	+	573	=	?
778	+	465	=	?
486	+	1915	=	?
1890	+	1960	=	?
587	+	1042	=	?
2024	+	285	=	?
245	+	1884	=	?
1506	+	1455	=	?
1819	+	1233	=	?
423	+	1106	=	?
523	+	669	=	?
1917	+	1860	=	?
45	+	193	=	?
1866	+	314	=	?
973	+	904	=	?
1641	+	699	=	?
1171	+	232	=	?
3	+	1690	=	?
734	+	1470	=	?
901	+	680	=	?
1177	+	565	=	?
1968	+	1866	=	?
1621	+	1177	=	?
1643	+	466	=	?
1550	+	1025	=	?
1867	+	1062	=	?
255	+	1536	=	?
696	+	430	=	?
1784	+	1427	=	?
1657	+	795	=	?
1264	+	365	=	?
225	+	692	=	?
295	+	125	=	?
1496	+	320	=	?
163	+	1534	=	?
1121	+	806	=	?
554	+	1191	=	?
539	+	179	=	?
1690	+	702	=	?
1837	+	13	=	?
720	+	432	=	?
1083	+	759	=	?
1422	+	270	=	?
1487	+	263	=	?
1984	+	1941	=	?
107	+	425	=	?
1788	+	1032	=	?
892	+	710	=	?
157	+	131	=	?
1646	+	330	=	?
604	+	715	=	?
1209	+	594	=	?
5	+	1278	=	?
1827	+	1100	=	?
1134	+	472	=	?
293	+	1771	=	?
240	+	1024	=	?
1109	+	1980	=	?
907	+	66	=	?
1193	+	1219	=	?
1797	+	1191	=	?
1195	+	1556	=	?
1652	+	185	=	?
1117	+	564	=	?
116	+	625	=	?
665	+	1471	=	?
1927	+	181	=	?
257	+	1458	=	?
1264	+	902	=	?
460	+	1234	=	?
876	+	1967	=	?
1647	+	97	=	?
654	+	424	=	?
351	+	1112	=	?
1808	+	495	=	?
1266	+	513	=	?
1308	+	108	=	?
1748	+	285	=	?
676	+	1159	=	?
649	+	1030	=	?
1907	+	1996	=	?
1267	+	297	=	?
1743	+	1561	=	?
849	+	1366	=	?
591	+	46	=	?
1779	+	1003	=	?
147	+	972	=	?
2024	+	1996	=	?
1432	+	696	=	?
284	+	824	=	?
752	+	2003	=	?
149	+	105	=	?
1084	+	1917	=	?
76	+	1248	=	?
1070	+	1506	=	?
633	+	38	=	?
586	+	853	=	?
1910	+	1880	=	?
501	+	1243	=	?
1400	+	958	=	?
1408	+	1687	=	?
1323	+	229	=	?
1274	+	1264	=	?
636	+	313	=	?
194	+	629	=	?
1767	+	413	=	?
1386	+	52	=	?
2019	+	970	=	?
1062	+	1700	=	?
577	+	950	=	?
1797	+	661	=	?
1398	+	136	=	?
1236	+	825	=	?
1943	+	2013	=	?
1250	+	748	=	?
423	+	1877	=	?
276	+	173	=	?
1727	+	1433	=	?
496	+	870	=	?
1886	+	1560	=	?
1060	+	1622	=	?
756	+	1234	=	?
1310	+	1965	=	?
1245	+	1423	=	?
1138	+	372	=	?
1964	+	1585	=	?
263	+	497	=	?
1526	+	81	=	?
2015	+	279	=	?
2012	+	1083	=	?
441	+	1832	=	?
1561	+	541	=	?
465	+	248	=	?
1800	+	1113	=	?
1457	+	768	=	?
1507	+	1642	=	?
1027	+	728	=	?
657	+	1289	=	?
1488	+	581	=	?
1709	+	1421	=	?
804	+	333	=	?
450	+	1405	=	?
775	+	1392	=	?
259	+	393	=	?
861	+	757	=	?
1169	+	656	=	?
1045	+	1	=	?
1986	+	1220	=	?
881	+	1635	=	?
1198	+	707	=	?
1445	+	1561	=	?
2007	+	847	=	?
253	+	267	=	?
236	+	1102	=	?
58	+	125	=	?
13	+	913	=	?
1238	+	1464	=	?
1406	+	165	=	?
2015	+	1684	=	?
698	+	1491	=	?
111	+	2000	=	?
999	+	747	=	?
1832	+	397	=	?
833	+	179	=	?
976	+	98	=	?
371	+	1948	=	?
1946	+	667	=	?
1357	+	1318	=	?
1514	+	207	=	?
818	+	1832	=	?
1572	+	1801	=	?
1709	+	1727	=	?
392	+	645	=	?
132	+	1530	=	?
1500	+	221	=	?
466	+	1481	=	?
1907	+	1757	=	?
1825	+	313	=	?
1515	+	1549	=	?
1676	+	1908	=	?
177	+	826	=	?
405	+	1014	=	?
905	+	1704	=	?
1753	+	423	=	?
1331	+	1023	=	?
1572	+	499	=	?
817	+	5	=	?
283	+	1331	=	?
452	+	665	=	?
675	+	1365	=	?
282	+	1018	=	?
718	+	1525	=	?
1328	+	678	=	?
543	+	1562	=	?
1923	+	81	=	?
900	+	358	=	?
513	+	592	=	?
1582	+	1619	=	?
457	+	90	=	?
1103	+	850	=	?
1568	+	1941	=	?
1043	+	1567	=	?
384	+	709	=	?
1223	+	466	=	?
1195	+	1421	=	?
1982	+	1025	=	?
1706	+	1270	=	?
825	+	916	=	?
1082	+	204	=	?
20	+	1650	=	?
1329	+	1400	=	?
235	+	524	=	?
8	+	256	=	?
824	+	1393	=	?
1317	+	1782	=	?
1834	+	1422	=	?
293	+	783	=	?
1948	+	1613	=	?
1078	+	603	=	?
439	+	1501	=	?
528	+	1619	=	?
408	+	1844	=	?
1677	+	1152	=	?
1765	+	1455	=	?
1945	+	1322	=	?
935	+	737	=	?
1512	+	1171	=	?
1580	+	480	=	?
1969	+	1147	=	?
512	+	1510	=	?
1968	+	1603	=	?
12	+	963	=	?
906	+	1928	=	?
632	+	609	=	?
343	+	1194	=	?
1715	+	670	=	?
1897	+	1357	=	?
643	+	950	=	?
500	+	839	=	?
1312	+	1151	=	?
1412	+	442	=	?
913	+	1120	=	?
446	+	1722	=	?
59	+	576	=	?
6	+	938	=	?
692	+	1481	=	?
1264	+	1455	=	?
774	+	1421	=	?
495	+	1119	=	?
840	+	526	=	?
1140	+	879	=	?
1297	+	642	=	?
537	+	569	=	?
838	+	1446	=	?
1372	+	619	=	?
792	+	724	=	?
39	+	488	=	?
1405	+	289	=	?
1107	+	1791	=	?
79	+	1654	=	?
54	+	1198	=	?
1038	+	665	=	?
5	+	1538	=	?
231	+	126	=	?
1504	+	1886	=	?
48	+	1869	=	?
280	+	1429	=	?
1710	+	252	=	?
32	+	1645	=	?
801	+	1577	=	?
49	+	1468	=	?
1078	+	1302	=	?
1580	+	1030	=	?
1741	+	158	=	?
743	+	1888	=	?
1054	+	76	=	?
1393	+	905	=	?
936	+	1967	=	?
824	+	1668	=	?
194	+	583	=	?
1467	+	218	=	?
440	+	636	=	?
1070	+	571	=	?
646	+	892	=	?
1733	+	1638	=	?
992	+	336	=	?
526	+	1249	=	?
1223	+	36	=	?
1294	+	1517	=	?
1633	+	1952	=	?
3	+	241	=	?
723	+	848	=	?
1470	+	1321	=	?
108	+	1688	=	?
1797	+	703	=	?
374	+	1975	=	?
919	+	1391	=	?
13	+	1749	=	?
815	+	194	=	?
1284	+	1826	=	?
644	+	1936	=	?
378	+	1806	=	?
1904	+	1044	=	?
159	+	1065	=	?
89	+	1596	=	?
119	+	66	=	?
1373	+	881	=	?
1613	+	1600	=	?
934	+	483	=	?
771	+	86	=	?
229	+	1069	=	?
496	+	1386	=	?
439	+	433	=	?
1003	+	1652	=	?
1650	+	1850	=	?
615	+	381	=	?
1621	+	336	=	?
1298	+	126	=	?
713	+	89	=	?
103	+	1001	=	?
694	+	920	=	?
556	+	1882	=	?
1262	+	628	=	?
956	+	1682	=	?
933	+	1894	=	?
1549	+	732	=	?
63	+	1928	=	?
1258	+	1230	=	?
380	+	761	=	?
874	+	1685	=	?
466	+	1644	=	?
965	+	724	=	?
1263	+	1329	=	?
1132	+	465	=	?
1926	+	1378	=	?
1045	+	1677	=	?
1684	+	573	=	?
43	+	1456	=	?
295	+	1386	=	?
761	+	1811	=	?
1680	+	92	=	?
782	+	14	=	?
653	+	447	=	?
1463	+	1898	=	?
0	+	846	=	?
605	+	734	=	?
258	+	1877	=	?
552	+	51	=	?
1808	+	1356	=	?
1443	+	751	=	?
821	+	293	=	?
939	+	1774	=	?
894	+	187	=	?
567	+	64	=	?
136	+	1463	=	?
295	+	257	=	?
1748	+	1037	=	?
1567	+	1937	=	?
921	+	1188	=	?
1837	+	124	=	?
519	+	1394	=	?
1651	+	938	=	?
1536	+	1489	=	?
1314	+	355	=	?
1709	+	293	=	?
1412	+	1243	=	?
1497	+	382	=	?
167	+	231	=	?
1248	+	632	=	?
1347	+	1372	=	?
232	+	1197	=	?
1354	+	230	=	?
705	+	944	=	?
886	+	757	=	?
216	+	487	=	?
7	+	2014	=	?
56	+	1656	=	?
143	+	1864	=	?
610	+	2023	=	?
218	+	1101	=	?
907	+	438	=	?
1476	+	1365	=	?
622	+	540	=	?
657	+	679	=	?
1653	+	1965	=	?
783	+	520	=	?
1465	+	187	=	?
426	+	1361	=	?
1855	+	15	=	?
1618	+	1896	=	?
1228	+	293	=	?
979	+	1817	=	?
311	+	1202	=	?
1960	+	826	=	?
1028	+	432	=	?
1513	+	1393	=	?
2019	+	783	=	?
1347	+	1072	=	?
1707	+	157	=	?
450	+	1712	=	?
1922	+	410	=	?
929	+	930	=	?
1936	+	568	=	?
811	+	1705	=	?
940	+	814	=	?
1865	+	581	=	?
537	+	1013	=	?
1841	+	630	=	?
1334	+	244	=	?
225	+	832	=	?
663	+	1333	=	?
639	+	485	=	?
228	+	1836	=	?
1253	+	1137	=	?
818	+	109	=	?
114	+	1335	=	?
735	+	1049	=	?
1075	+	1676	=	?
1211	+	2003	=	?
1311	+	1551	=	?
402	+	1960	=	?
1605	+	896	=	?
341	+	474	=	?
900	+	1258	=	?
496	+	1181	=	?
1122	+	773	=	?
1050	+	394	=	?
67	+	1711	=	?
1337	+	1180	=	?
1935	+	213	=	?
1651	+	1212	=	?
996	+	1200	=	?
845	+	1113	=	?
409	+	1030	=	?
222	+	1435	=	?
1503	+	965	=	?
427	+	401	=	?
1371	+	1398	=	?
1415	+	421	=	?
112	+	85	=	?
921	+	1623	=	?
148	+	1137	=	?
919	+	575	=	?
402	+	35	=	?
1817	+	932	=	?
553	+	1464	=	?
592	+	949	=	?
1625	+	776	=	?
1338	+	1096	=	?
1933	+	825	=	?
1075	+	895	=	?
1038	+	1568	=	?
1611	+	1866	=	?
1416	+	578	=	?
337	+	1392	=	?
765	+	92	=	?
1044	+	1987	=	?
169	+	1712	=	?
212	+	1513	=	?
1163	+	1403	=	?
339	+	1780	=	?
509	+	1721	=	?
1463	+	1460	=	?
1698	+	1089	=	?
370	+	1017	=	?
774	+	210	=	?
1616	+	945	=	?
87	+	1751	=	?
380	+	508	=	?
256	+	783	=	?
1303	+	21	=	?
935	+	393	=	?
1636	+	899	=	?
216	+	1753	=	?
660	+	861	=	?
924	+	102	=	?
858	+	369	=	?
753	+	1259	=	?
1821	+	2014	=	?
222	+	1811	=	?
149	+	577	=	?
1584	+	1753	=	?
99	+	649	=	?
1141	+	1299	=	?
1089	+	764	=	?
837	+	741	=	?
174	+	1160	=	?
1951	+	30	=	?
688	+	529	=	?
1328	+	490	=	?
1747	+	483	=	?
515	+	620	=	?
1067	+	1981	=	?
205	+	511	=	?
1389	+	1799	=	?
8	+	1611	=	?
991	+	1043	=	?
229	+	871	=	?
1933	+	751	=	?
2010	+	870	=	?
215	+	695	=	?
220	+	1987	=	?
444	+	774	=	?
643	+	36	=	?
411	+	631	=	?
1101	+	1222	=	?
36	+	1964	=	?
1988	+	1748	=	?
928	+	1075	=	?
247	+	1326	=	?
1031	+	1239	=	?
1622	+	1169	=	?
1854	+	560	=	?
2023	+	1719	=	?
686	+	1942	=	?
1680	+	41	=	?
1464	+	454	=	?
1500	+	1511	=	?
1312	+	1021	=	?
145	+	1797	=	?
1862	+	421	=	?
29	+	1561	=	?
365	+	1620	=	?
904	+	1898	=	?
1431	+	1116	=	?
104	+	433	=	?
501	+	246	=	?
1528	+	502	=	?
732	+	1254	=	?
819	+	1352	=	?
1211	+	361	=	?
417	+	203	=	?
534	+	1130	=	?
28	+	2007	=	?
274	+	1657	=	?
1159	+	565	=	?
1342	+	1631	=	?
237	+	476	=	?
734	+	1800	=	?
771	+	949	=	?
1934	+	29	=	?
481	+	1506	=	?
1451	+	74	=	?
78	+	1885	=	?
906	+	82	=	?
1067	+	1618	=	?
1686	+	1912	=	?
1280	+	1443	=	?
1364	+	1030	=	?
869	+	1494	=	?
790	+	782	=	?
2006	+	1151	=	?
1980	+	647	=	?
40	+	469	=	?
768	+	1511	=	?
563	+	844	=	?
601	+	528	=	?
1570	+	426	=	?
741	+	254	=	?
1640	+	1144	=	?
817	+	1123	=	?
703	+	1086	=	?
907	+	1947	=	?
372	+	128	=	?
370	+	1712	=	?
1162	+	1842	=	?
608	+	580	=	?
522	+	745	=	?
794	+	1529	=	?
1567	+	1157	=	?
987	+	1493	=	?
883	+	52	=	?
1170	+	723	=	?
380	+	1315	=	?
942	+	1897	=	?
212	+	111	=	?
990	+	1168	=	?
598	+	402	=	?
1051	+	1293	=	?
767	+	702	=	?
1537	+	746	=	?
1890	+	1720	=	?
1465	+	1009	=	?
298	+	97	=	?
1575	+	1317	=	?
1940	+	1583	=	?
396	+	459	=	?
110	+	1592	=	?
1135	+	54	=	?
714	+	298	=	?
974	+	64	=	?
627	+	647	=	?
1667	+	1729	=	?
1936	+	477	=	?
1393	+	3	=	?
900	+	1408	=	?
956	+	1090	=	?
1355	+	20	=	?
1550	+	479	=	?
1802	+	1248	=	?
1030	+	270	=	?
634	+	384	=	?
1300	+	1571	=	?
1069	+	312	=	?
13	+	1277	=	?
1240	+	437	=	?
621	+	927	=	?
1589	+	939	=	?
1527	+	566	=	?
1850	+	1050	=	?
805	+	350	=	?
550	+	583	=	?
1478	+	173	=	?
1591	+	531	=	?
878	+	794	=	?
939	+	1139	=	?
73	+	694	=	?
1490	+	1431	=	?
1681	+	4	=	?
1082	+	1868	=	?
1936	+	1445	=	?
1382	+	1518	=	?
517	+	689	=	?
471	+	531	=	?
1823	+	282	=	?
124	+	574	=	?
1848	+	382	=	?
1606	+	809	=	?
691	+	2024	=	?
1076	+	1015	=	?
65	+	1169	=	?
1171	+	424	=	?
1377	+	1514	=	?
186	+	1025	=	?
1854	+	351	=	?
1841	+	1854	=	?
